ra,lumclass,vmag,dec,picid
308.9702838,GIANT,9.6829996,16.9653913,456603480
308.201278,GIANT,9.2770004,16.967948899999996,456526105
299.4027611,GIANT,9.21,16.9683714,387388130
303.4928466,DWARF,9.987999900000002,16.9854711,87843435
307.2538963,DWARF,8.343999900000002,16.9869397,60332106
302.800552,GIANT,9.6669998,16.9908618,87213988
305.7971196000001,DWARF,8.670999499999999,16.9937827,456404066
307.9662068,DWARF,7.2468800999999985,16.994144199999994,456504965
306.3155513000001,,8.908,16.9976126,430310306
300.1684111,DWARF,8.786000300000001,16.9977878,388304556
301.0392107,GIANT,8.380000099999998,17.0028368,275240673
303.5864755,,9.0719995,17.016107,88018225
299.8783509999999,DWARF,10.037,17.0179172,387988203
301.8717756,GIANT,7.619999900000002,17.021791399999998,86406105
304.868764,GIANT,9.326999699999998,17.0420236,51227511
302.0421487,GIANT,8.343999900000002,17.0435243,86412936
300.9410051000001,GIANT,8.8430004,17.0543512,275232842
300.660709,DWARF,9.3590002,17.0546664,418124528
306.2303581000001,GIANT,9.5389996,17.0566107,305248072
301.0240899,DWARF,5.7940001,17.0696043,275240386
306.2798712,DWARF,9.486000099999998,17.072035500000002,305248029
307.57793439999995,DWARF,8.6590004,17.074156100000003,456470025
307.7580703000001,GIANT,7.5,17.0779888,401128320
304.8613786,DWARF,10.215,17.0832819,51227648
301.9866624,GIANT,8.71,17.083334699999998,86412821
302.613003,DWARF,9.7220001,17.0840353,87134357
300.9813505,GIANT,9.451999699999998,17.0860628,275240325
304.3870956,GIANT,9.7200003,17.0959494,372636000
308.6723337,GIANT,10.299,17.0979074,75414835
307.0052906,DWARF,9.7959995,17.1202425,305708652
300.9995048,DWARF,6.9163799,17.124577,275240166
300.7716818,DWARF,9.7869997,17.130692,274920680
299.5516566,GIANT,8.7770004,17.133874600000002,387644243
301.4577636,DWARF,8.736000099999998,17.139136399999998,402571258
308.6023692,DWARF,9.2139997,17.1422465,75414936
299.4366453,DWARF,7.820000200000001,17.149006,387387019
302.5762459,GIANT,8.854000099999997,17.1494973,86923006
309.1448581,DWARF,8.819999699999997,17.151332399999998,456606738
300.4915096000001,GIANT,10.115,17.1521301,388749597
302.8826704,DWARF,8.8479996,17.153100600000002,87387403
301.7724481,DWARF,10.015,17.1543514,86235810
305.9584394,GIANT,9.753000300000002,17.1592078,456444035
302.7652218,GIANT,8.569999699999999,17.1655215,87213426
300.240401,GIANT,10.1,17.1716345,388457492
305.7076529,DWARF,9.5380001,17.172200399999998,456404514
309.4064837,DWARF,9.2049999,17.1726504,456641243
307.2044608,DWARF,9.7860003,17.1746984,60331731
309.392291,GIANT,9.3509998,17.1769064,456641236
304.6856705,GIANT,10.41,17.1887788,51044806
307.1249253000001,GIANT,10.076,17.1905982,305877327
307.4375562,DWARF,9.8920002,17.2002704,372765495
301.6035243,DWARF,9.7559996,17.2044145,328075886
307.093095,DWARF,10.736,17.2155367,305877384
305.3139444,GIANT,9.8280001,17.215794600000002,51496672
303.6834739,DWARF,9.9399996,17.217647,88018805
308.2398013,DWARF,8.9700003,17.228572,456525616
299.5964105,GIANT,8.866000199999998,17.232809600000003,387644778
307.4915458,DWARF,8.8109999,17.237698899999998,372765584
301.0945474,DWARF,9.3039999,17.2438596,275239654
301.3914961000001,DWARF,9.6569996,17.247463699999994,402571733
304.4618627,GIANT,9.8310003,17.2516859,50787408
309.517701,DWARF,9.7340002,17.2675157,456672693
305.7131442,GIANT,9.4499998,17.2678187,456404758
303.1179249,DWARF,9.4370003,17.2710035,87567435
301.3209452,GIANT,9.283,17.280824,259182826
308.3663198000001,DWARF,9.8620005,17.282374899999994,456554834
305.950362,DWARF,9.908,17.2853836,456444341
302.7515848000001,GIANT,9.595999699999998,17.2959111,87212969
302.594316,DWARF,10.451,17.3004137,86922424
306.95234460000006,DWARF,9.7320004,17.302183399999997,305708254
307.2450019,GIANT,9.7770004,17.308267100000002,60331437
306.5954975,GIANT,6.22679,17.3155837,305526917
303.6854815,DWARF,9.7290001,17.315716899999998,88019101
304.8678941,DWARF,9.71,17.319888199999998,51228369
300.4950970000001,DWARF,9.5570002,17.3206314,388750362
307.9493595,GIANT,9.9289999,17.325781600000006,456504296
307.6723441000001,GIANT,8.8549995,17.3289424,422773230
305.1307855,,9.5279999,17.3306604,51396573
303.5728411,GIANT,9.4960003,17.3365503,87842331
303.3641171,DWARF,9.4280005,17.343591399999998,87838313
308.2801667,GIANT,8.7180004,17.3498483,456525382
305.0359377,GIANT,9.5430002,17.3501022,51232104
309.2760829,GIANT,9.8339996,17.3515294,456638751
307.0920743000001,GIANT,9.052,17.361842000000006,305877680
304.6462415000001,GIANT,6.8388901,17.3621625,51045376
304.5460198,GIANT,9.1789999,17.363281399999998,50787017
299.4292534,,9.533,17.3788552,387385708
306.9440867,GIANT,8.8559999,17.3819681,305708037
300.5806422,GIANT,9.718999900000002,17.3881379,388750669
303.0684601000001,GIANT,12.852,17.397510399999998,87392170
304.737441,DWARF,9.9720001,17.3989965,51049101
307.8286826000001,GIANT,9.602999699999998,17.4050491,456480628
306.8592443,DWARF,9.647000300000002,17.405571,305705679
302.4221637,GIANT,9.7930002,17.411586,86918009
302.4231134,DWARF,12.207,17.4116293,1941508568
302.4226622,,9.651,17.411650299999998,86918004
303.0566323000001,DWARF,9.4499998,17.4150092,87392102
302.3819151,GIANT,8.0380001,17.426833399999996,86918065
308.4019875,DWARF,9.8070002,17.431185199999998,456555128
308.2835415,GIANT,9.4449997,17.43585,456525236
304.3177088,GIANT,9.948,17.437067600000002,88475340
306.8749556,GIANT,9.987999900000002,17.4422688,305705769
299.4366293,GIANT,9.8730001,17.444209,387385344
303.834604,GIANT,9.5240002,17.4444018,88256567
304.2690488,DWARF,10.086,17.4468534,88475299
309.5243932,DWARF,9.4309998,17.4476448,456673034
305.694254,GIANT,9.257,17.4563456,456405174
307.2791795,GIANT,9.9510002,17.4570509,60331143
305.5321632,GIANT,8.302,17.4634109,395315329
306.3952177,DWARF,9.7110004,17.4662924,430311333
302.8882868,GIANT,10.253,17.4825562,87388607
301.7470182,GIANT,9.0830002,17.5016491,86234511
302.6841097,DWARF,9.8579998,17.5042003,87135806
300.0158602,GIANT,5.35746,17.516692300000006,388218863
300.5516035,GIANT,8.0799999,17.516819100000006,388751253
308.4476002,DWARF,9.4169998,17.526486,75339936
305.7497197,GIANT,9.0900002,17.530312699999996,456405358
304.5373647,DWARF,11.422,17.535118100000002,50786450
304.5391018,GIANT,10.354,17.5355591,50786444
304.0314375,GIANT,8.7950001,17.5411995,88259407
305.6464468000001,GIANT,9.4989996,17.5503195,456365364
305.8921726000001,DWARF,10.197,17.550795899999994,456407212
306.2374771000001,DWARF,10.095,17.5624443,305246900
303.9034527,DWARF,10.172,17.571472,88256974
304.1242319,,9.0459995,17.5776921,88472676
307.5240889,GIANT,7.946000099999999,17.583199899999997,372766278
302.65464110000005,DWARF,9.880000099999998,17.596257,87136140
301.4382348000001,GIANT,7.697,17.5983611,402573281
300.0000684,DWARF,10.043,17.5993919,388219530
307.8621489,GIANT,9.0600004,17.6035507,456481013
301.7589578,DWARF,9.888999900000002,17.60574,86234119
303.899029,GIANT,10.043,17.607536800000005,88257084
299.6535305000001,GIANT,9.621999699999998,17.6108612,387650519
300.0362858,GIANT,6.969649799999999,17.6126216,388219627
303.6332115,DWARF,9.9639997,17.6207337,88020062
307.6336395,DWARF,8.744000400000001,17.626017899999994,456470891
299.9517353,GIANT,9.0240002,17.6260224,387985105
299.4168459,GIANT,12.962,17.630369899999994,387384207
299.40513839999994,GIANT,8.694999699999999,17.633474399999994,387384220
307.7906815,GIANT,9.3039999,17.6360514,401127474
299.4814143000001,DWARF,11.8061,17.637697699999997,387384203
299.4801403,DWARF,12.339,17.6390305,387384160
300.0453001,DWARF,8.395999900000001,17.642112,388219845
305.2896604,GIANT,10.178,17.6449396,51495417
299.6347255,DWARF,9.994999900000002,17.657493600000006,387650240
305.9581628,GIANT,10.318,17.6646536,456445245
301.8917138000001,DWARF,8.760000199999999,17.6668822,86408660
302.0077329,GIANT,9.6999998,17.6695662,86410720
305.9343758,GIANT,9.878000300000002,17.673582500000006,456406914
306.4461172,GIANT,9.7600002,17.674031600000006,305316469
308.7609895,GIANT,10.418,17.6794458,75417155
301.3134654,DWARF,11.115,17.6812332,259184556
301.32281,GIANT,12.251,17.6820408,259184521
301.3182794,GIANT,12.742,17.6837599,259184572
306.4920933,GIANT,8.8999996,17.6941414,305316430
304.8460995000001,GIANT,9.9169998,17.6997604,51229561
299.93235,GIANT,8.6829996,17.703170899999996,387984694
305.5353369,DWARF,9.448,17.706987100000006,395315888
304.85360039999995,GIANT,10.095,17.712491,51229600
301.2233215,DWARF,9.4989996,17.7136009,258857047
301.0600782,GIANT,6.875,17.735138100000004,275237465
304.4121969,GIANT,9.7030001,17.7352828,372637738
301.5248921,GIANT,9.8850002,17.7419046,402575532
303.3818412,GIANT,10.144,17.745883,87839734
305.079367,GIANT,9.1459999,17.752764600000006,51397830
306.8619178,GIANT,9.630000099999998,17.753146899999994,305706461
303.6410606,DWARF,10.145,17.753899399999995,88020520
306.0481556000001,GIANT,9.3470001,17.7559428,456445460
305.9800301,DWARF,10.783,17.7797709,456445514
305.9803726,GIANT,10.39,17.7800424,456445522
302.7317476,GIANT,10.275,17.7803052,87137915
309.4617295,GIANT,9.7889996,17.781102100000005,456687830
305.0893818,GIANT,5.8084898,17.792173000000005,51397945
304.0889683000001,GIANT,8.621999699999998,17.7929393,88473326
299.39426339999994,GIANT,9.2329998,17.795068,387383293
303.5252895,GIANT,7.7849998,17.796394199999995,87840836
300.11688839999994,GIANT,9.5593004,17.7981934,1944408653
300.1161817,GIANT,9.6230001,17.7990955,388223743
305.316151,GIANT,8.489999800000001,17.8032833,51494959
303.128381,GIANT,10.458,17.812164000000006,87642099
309.0839277,DWARF,8.4460001,17.8128374,456605508
302.4177267,GIANT,9.4099998,17.82214,86919605
304.2117006000001,GIANT,8.3599997,17.8286032,88474126
308.7690996,GIANT,9.6450005,17.8342697,75416854
308.2317718000001,GIANT,9.9250002,17.839239000000006,456524413
300.1524331,GIANT,8.6239996,17.840532500000005,388223329
308.5006684,DWARF,9.2419996,17.8429167,75339203
308.5633127,GIANT,7.7579999000000015,17.853286100000005,75416455
300.8222018,GIANT,8.7880001,17.8648333,274917579
303.3067634,DWARF,9.3039999,17.871268899999997,87643282
299.5001756,,9.621999699999998,17.872805800000005,387648268
299.4998161000001,GIANT,11.032,17.8730043,423619633
302.5516478,DWARF,9.6440001,17.878969899999994,86920247
301.2772651,DWARF,7.929999799999999,17.879185,259185382
305.4016220000001,GIANT,9.7659998,17.888893600000007,51636454
301.567583,DWARF,9.3690004,17.896566600000003,402574846
303.3515219,DWARF,9.119999900000002,17.897827,87840228
308.0429312,DWARF,10.652,17.897943899999994,417052532
308.3854958,DWARF,9.1040001,17.9034409,417383763
308.0028088,DWARF,9.897000300000002,17.9045888,456503095
306.3256635,GIANT,10.084,17.907774,219656021
301.7183754,DWARF,9.3179998,17.9099944,328072691
299.7262945,GIANT,10.586,17.9108171,423934118
301.3263931,DWARF,9.8299999,17.9214331,259185496
300.71476980000006,DWARF,9.701999699999998,17.9248388,424246057
301.7487936,DWARF,8.987999900000002,17.9256763,393433660
300.7923462,DWARF,9.2089996,17.9257707,274917423
305.2448100000001,GIANT,9.4700003,17.927271899999994,51494669
301.1824243000001,DWARF,8.0959997,17.9294088,258856132
299.7447822,DWARF,10.163,17.9328438,423934178
299.5579228000001,DWARF,9.8109999,17.9406728,387648513
302.0359258,GIANT,10.337,17.9424434,352661530
300.0901841999999,DWARF,8.755999599999999,17.9446872,424245762
305.2985950000001,GIANT,10.62,17.9923413,402691356
301.283159,GIANT,9.8950005,18.0118978,288308916
301.88903660000005,DWARF,9.298000300000002,18.0300065,393434180
303.3600371,DWARF,9.8920002,18.0420487,395901324
308.2132749,GIANT,10.332,18.043612600000003,417244287
302.56035039999995,GIANT,9.1630001,18.043653,395281938
308.2150247,,9.427,18.043736600000006,417244272
303.8644681,GIANT,9.934,18.0469234,396838732
302.1017490000001,GIANT,10.011,18.051313600000004,322848869
304.6578331,GIANT,8.772999800000001,18.0652582,363097411
306.9458668000001,DWARF,8.963999699999997,18.075407100000003,210168659
306.9799795,DWARF,9.6409998,18.0794826,210168645
300.2306387,DWARF,9.2349997,18.0829447,256629673
301.185679,DWARF,9.9510002,18.0837339,288307804
299.4966368000001,GIANT,9.868,18.084938,423620482
300.4709117,GIANT,9.3590002,18.0933847,257121398
304.5756202,GIANT,9.3079996,18.0959401,305023986
303.1969486,DWARF,10.403,18.1039099,278348461
309.4712631,DWARF,9.5649996,18.1059993,406720818
308.8184856000001,GIANT,9.744999900000002,18.1073786,314173070
302.2658501,DWARF,11.125,18.1165656,364256791
302.2654849,DWARF,9.9429998,18.1169371,364256801
300.890643,GIANT,10.047,18.118769600000004,257123103
302.3937849,GIANT,8.404000300000002,18.138224800000003,393711494
306.54990739999994,DWARF,9.9989996,18.147352800000004,219693565
305.0013351,GIANT,9.6289997,18.1501441,314172124
303.6361902,GIANT,9.7159996,18.151943600000006,396657692
299.3715065,DWARF,9.9630003,18.1612141,263226114
303.4267612,GIANT,8.0799999,18.1733058,362958183
308.5049131,GIANT,7.0151901,18.1860545,417384409
303.5152169,GIANT,7.4840002,18.215353600000004,260798842
302.5052009,GIANT,7.954999900000002,18.2250804,395282734
304.3674781,GIANT,10.104,18.2373633,304716935
301.4800311,GIANT,7.860000099999999,18.2438427,393169336
299.4936297,GIANT,9.9650002,18.2486828,423621295
309.479359,GIANT,6.0160198,18.2701728,406720538
309.1739329,GIANT,8.619999900000002,18.278055,406612608
309.415751,DWARF,9.7600002,18.2862013,406720510
299.4187886,DWARF,9.7600002,18.2917712,423621479
300.7620486,DWARF,6.833819900000001,18.2950245,424247643
302.9441147,GIANT,10.179,18.2996764,395620060
302.9431506,GIANT,9.9029999,18.3000289,395620085
305.3554081000001,DWARF,8.6420002,18.3026575,402692289
304.1275182,GIANT,9.151,18.3094095,304399261
306.8830575,GIANT,9.378000300000002,18.3107831,379749458
305.8741623,DWARF,10.202,18.3155938,219556028
304.5614665,,10.7114,18.3273393,1941694663
302.1630489,GIANT,9.201999699999998,18.3357093,322849939
303.3167488,DWARF,10.185,18.3386138,395904114
305.72616789999995,DWARF,8.6999998,18.339191600000003,219553788
299.9734974,,8.6099997,18.340670000000006,256355477
300.9013001,DWARF,8.8559999,18.3416814,257124082
302.3251542,DWARF,9.6549997,18.3430401,364257546
304.6566979,DWARF,9.4619999,18.347088,363096498
301.3197642,DWARF,9.8950005,18.350218100000006,288310524
308.3850321000001,DWARF,9.576999699999998,18.3517202,417382768
308.3843351000001,DWARF,11.4922,18.3517925,417382766
304.2408197,DWARF,8.04,18.3528953,304714583
302.3036506,,8.671999900000001,18.3620689,364257619
305.8204164,,8.829000500000003,18.3673754,219556158
303.0822740000001,DWARF,8.9250002,18.3690657,395897032
307.1717351000001,GIANT,10.033,18.3784894,210170107
307.968826,GIANT,11.872,18.3823626,417122563
304.0475599,GIANT,11.934,18.3856548,304399496
300.2466737,,8.965000199999997,18.3870374,256628240
307.169251,DWARF,9.085,18.3975049,210170166
305.3596453,DWARF,9.1120005,18.3993957,402692562
305.851084,DWARF,10.467,18.4039975,219556248
299.6198615,GIANT,8.897999800000003,18.4274248,423931343
309.1485966,DWARF,9.2030001,18.4428734,406612191
304.8358243,DWARF,12.158,18.4431445,361562832
304.8366542,GIANT,10.523,18.4434352,361562818
304.2478979,GIANT,9.996999699999998,18.4468459,304714270
306.7288776000001,DWARF,10.293,18.450434,258469045
307.3400801,GIANT,7.959000099999999,18.4565184,379102730
302.4741336,GIANT,10.43,18.4641431,395283778
303.8344625,DWARF,7.860000099999999,18.4667152,396837491
305.3308211000001,,9.5839996,18.4693448,402692802
307.9389728999999,GIANT,10.142,18.4697304,379511910
303.8221076000001,,8.541999800000001,18.4707158,396837470
300.1098044,DWARF,9.6190004,18.4742311,424243211
302.940951,DWARF,10.002,18.4746613,395620895
302.9670473000001,GIANT,9.2440004,18.4748448,395620888
302.825607,,10.02,18.475964,277885471
302.8759539,DWARF,8.279999700000001,18.4792036,395620906
304.9656654,DWARF,10.188,18.4807895,314171259
303.5391153,DWARF,10.326,18.486846300000003,260799719
306.0976043,DWARF,8.9320002,18.4903127,219599875
300.8187629,GIANT,5.971620099999999,18.4998632,257124770
302.7989013,DWARF,10.326,18.515476100000004,277885604
304.8848179,DWARF,10.739,18.5247209,361562556
304.4702935,GIANT,10.325,18.5263814,305021599
308.664796,GIANT,9.198,18.5273365,417511776
307.1366864,GIANT,9.2889996,18.529944600000004,210170485
301.7339771,DWARF,9.5719995,18.5334054,393431284
308.0704521,DWARF,9.6459999,18.540462100000006,417122944
308.3678321000001,GIANT,9.1020002,18.5449819,417382259
307.6493862,DWARF,8.7299995,18.5500417,379260165
307.2388308,GIANT,9.951999699999998,18.5581813,210232280
300.6348042,GIANT,8.2840004,18.5602054,352658426
305.341871,GIANT,10.851,18.5620519,402693087
305.3425129,GIANT,10.101,18.562726100000006,402693102
304.64775539999994,GIANT,9.9630003,18.5630387,363095767
299.7519994,DWARF,8.701999699999998,18.5648013,423937327
299.3968162,DWARF,9.5620003,18.5681718,263228605
300.5832683000001,GIANT,10.245,18.5739818,352658378
300.5833314,GIANT,9.6269999,18.5740917,352658341
309.3979012000001,GIANT,8.9250002,18.5803974,406719912
301.9218042,DWARF,11.227,18.580957100000006,393497156
